Frame,Predicted Label
99,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
100,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
101,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
102,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
103,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
104,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
105,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
106,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
107,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
108,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
109,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
110,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
111,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
112,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
113,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
114,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
115,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
116,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
117,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
118,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
119,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
120,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
121,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
122,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
123,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
124,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
125,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
126,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
127,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
128,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
129,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
130,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
131,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
132,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
133,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
134,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
135,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
136,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
137,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
138,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
139,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
140,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
141,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
142,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
143,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
144,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
145,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
146,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
147,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
148,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
149,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
150,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
151,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
152,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
153,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
154,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
155,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
156,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
157,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
158,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
159,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
160,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
161,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
162,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
163,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
164,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
165,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
166,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
167,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
168,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
169,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
170,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
171,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
172,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
173,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
174,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
175,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
176,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
177,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
178,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
179,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
180,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
181,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
182,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
183,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
184,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
185,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
186,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
187,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
188,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
189,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
190,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
191,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
192,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
